cik_str,ticker,title
57083,KYO,KYOCERA CORP
57131,LZB,LA-Z-BOY INC
57515,LANC,LANCASTER COLONY CORP
57528,LNCE,"SNYDER'S-LANCE, INC."
57725,LCI,LANNETT CO INC
58361,LEE,"LEE ENTERPRISES, Inc"
58492,LEG,LEGGETT & PLATT INC
59255,VHI,VALHI INC /DE/
59440,VGR,VECTOR GROUP LTD
59478,LLY,ELI LILLY & Co
59527,LECO,LINCOLN ELECTRIC HOLDINGS INC
59558,LNC,LINCOLN NATIONAL CORP
59860,GRMC,GOLDRICH MINING CO
60086,L,LOEWS CORP
60519,LPX,LOUISIANA-PACIFIC CORP
60667,LOW,LOWES COMPANIES INC
60714,LXU,LSB INDUSTRIES INC
60977,LDL,LYDALL INC /DE/
61004,LGL,LGL GROUP INC
61398,TELL,TELLURIAN INC. /DE/
61986,MTW,MANITOWOC CO INC
62234,MCS,MARCUS CORP
62362,MARPS,MARINE PETROLEUM TRUST
62709,MMC,"MARSH & MCLENNAN COMPANIES, INC."
62996,MAS,MASCO CORP /DE/
63276,MAT,MATTEL INC /DE/
63296,MATW,MATTHEWS INTERNATIONAL CORP
63330,MLP,MAUI LAND & PINEAPPLE CO INC
63754,MKC,MCCORMICK & CO INC
63754,MKCV,MCCORMICK & CO INC
63908,MCD,MCDONALDS CORP
64040,SPGI,S&P Global Inc.
64463,MKTY,MECHANICAL TECHNOLOGY INC
64472,GENC,GENCOR INDUSTRIES INC
64803,CVS,CVS HEALTH Corp
64996,MCY,MERCURY GENERAL CORP
65011,MDP,MEREDITH CORP
65172,MSB,MESABI TRUST
65270,MEI,METHODE ELECTRONICS INC
65312,EVI,"EVI INDUSTRIES, INC."
65596,SIEB,SIEBERT FINANCIAL CORP
65759,MPAD,MICROPAC INDUSTRIES INC
65770,MVIS,"MICROVISION, INC."
65984,ETR,ENTERGY CORP /DE/
66004,MSEX,MIDDLESEX WATER CO
66382,MLHR,HERMAN MILLER INC
66388,MLLS,MILLER INDUSTRIES INC
66418,MXC,MEXCO ENERGY CORP
66496,MMTRS,MILLS MUSIC TRUST
66570,MSA,MSA Safety Inc
66600,MMMM,"Quad M Solutions, Inc."
66740,MMM,3M CO
66756,ALE,ALLETE INC
66901,EMP,"ENTERGY MISSISSIPPI, LLC"
67088,MUFG,MITSUBISHI UFJ FINANCIAL GROUP INC
67215,DY,DYCOM INDUSTRIES INC
67347,MOD,MODINE MANUFACTURING CO
67625,MNR-PC,MONMOUTH REAL ESTATE INVESTMENT CORP
67625,MNR,MONMOUTH REAL ESTATE INVESTMENT CORP
67716,MDU,MDU RESOURCES GROUP INC
67887,MOG-B,MOOG INC.
67887,MOG-A,MOOG INC.
68505,MSI,"Motorola Solutions, Inc."
68622,CTY,QWEST CORP
68709,MTSC,MTS SYSTEMS CORP
69422,INTG,INTERGROUP CORP
69488,MYE,MYERS INDUSTRIES INC
69633,NSSC,"NAPCO SECURITY TECHNOLOGIES, INC"
69733,NATH,NATHANS FAMOUS INC
69891,FIZZ,NATIONAL BEVERAGE CORP
70145,NFG,NATIONAL FUEL GAS CO
70318,THC,TENET HEALTHCARE CORP
70415,GPX,GP STRATEGIES CORP
70487,NRC,NATIONAL RESEARCH CORP
70502,NRUC,NATIONAL RURAL UTILITIES COOPERATIVE FINANCE CORP /DC/
70858,BAC,BANK OF AMERICA CORP /DE/
70858,BAC-PA,BANK OF AMERICA CORP /DE/
70858,BAC-PB,BANK OF AMERICA CORP /DE/
70858,MER-PK,BANK OF AMERICA CORP /DE/
70858,BML-PH,BANK OF AMERICA CORP /DE/
70858,BML-PJ,BANK OF AMERICA CORP /DE/
70858,BML-PL,BANK OF AMERICA CORP /DE/
70858,BAC-PE,BANK OF AMERICA CORP /DE/
70858,BAC-PK,BANK OF AMERICA CORP /DE/
70858,BAC-PL,BANK OF AMERICA CORP /DE/
70858,BAC-PM,BANK OF AMERICA CORP /DE/
70858,BAC-PN,BANK OF AMERICA CORP /DE/
70858,BML-PG,BANK OF AMERICA CORP /DE/
70866,NCR,NCR CORP
71508,ENJ,"ENTERGY NEW ORLEANS, LLC"
71508,ENO,"ENTERGY NEW ORLEANS, LLC"
71557,NUVR,"Nuvera Communications, Inc."
71691,NYT,NEW YORK TIMES CO
71829,NR,NEWPARK RESOURCES INC
72162,NL,NL INDUSTRIES INC
72205,NOBH,NOBILITY HOMES INC
72207,NBL,NOBLE ENERGY INC
72331,NDSN,NORDSON CORP
72333,JWN,NORDSTROM INC
72444,VXRT,"Vaxart, Inc."
72573,MOV,MOVADO GROUP INC
72633,NRT,NORTH EUROPEAN OIL ROYALTY TRUST
72741,ES,EVERSOURCE ENERGY
72903,XEL,XCEL ENERGY INC
72971,WFC-PY,WELLS FARGO & COMPANY/MN
72971,WFC-PZ,WELLS FARGO & COMPANY/MN
72971,WFC-PQ,WELLS FARGO & COMPANY/MN
72971,WFC-PR,WELLS FARGO & COMPANY/MN
72971,WFC-PT,WELLS FARGO & COMPANY/MN
72971,WFC-PV,WELLS FARGO & COMPANY/MN
72971,WFC-PW,WELLS FARGO & COMPANY/MN
72971,WFC-PX,WELLS FARGO & COMPANY/MN
72971,WFC,WELLS FARGO & COMPANY/MN
72971,WFC-PL,WELLS FARGO & COMPANY/MN
72971,WFC-PN,WELLS FARGO & COMPANY/MN
72971,WFC-PO,WELLS FARGO & COMPANY/MN
72971,WFC-PP,WELLS FARGO & COMPANY/MN
73088,NWE,NORTHWESTERN CORP
73124,NTRS,NORTHERN TRUST CORP
73124,NTRSO,NORTHERN TRUST CORP
73290,BMRA,BIOMERICA INC
73309,NUE,NUCOR CORP
73756,OII,OCEANEERING INTERNATIONAL INC
74046,ODC,Oil-Dri Corp of America
74208,UDR,"UDR, Inc."
74260,ORI,OLD REPUBLIC INTERNATIONAL CORP
74303,OLN,OLIN Corp
75208,OSG,OVERSEAS SHIPHOLDING GROUP INC
75252,OMI,OWENS & MINOR INC/VA/
75288,OXM,OXFORD INDUSTRIES INC
75340,PFIN,P&F INDUSTRIES INC
75362,PCAR,PACCAR INC
75439,MDIT,"Medite Cancer Diagnostics, Inc."
75677,PKG,PACKAGING CORP OF AMERICA
76267,PKE,PARK AEROSPACE CORP
76282,PKOH,PARK OHIO HOLDINGS CORP
76321,PKD,PARKER DRILLING CO /DE/
76321,PKDC,PARKER DRILLING CO /DE/
76321,PKDCD,PARKER DRILLING CO /DE/
76334,PH,PARKER HANNIFIN CORP
76605,PATK,PATRICK INDUSTRIES INC
77159,PVAC,PENN VIRGINIA CORP
77281,PEI,PENNSYLVANIA REAL ESTATE INVESTMENT TRUST
77360,PNR,PENTAIR plc
77476,PEP,PEPSICO INC
77543,TPC,TUTOR PERINI CORP
77877,PDCE,"PDC ENERGY, INC."
78003,PFE,PFIZER INC
78128,WTR,"Essential Utilities, Inc."
78128,WTRG,"Essential Utilities, Inc."
78150,PHI,PLDT Inc.
78239,PVH,PVH CORP. /DE/
78749,AGYS,AGILYSYS INC
78814,PBI,PITNEY BOWES INC /DE/
78814,PBI-PB,PITNEY BOWES INC /DE/
78890,BCO,BRINKS CO
79282,BRO,"BROWN & BROWN, INC."
79661,PRSI,PORTSMOUTH SQUARE INC
79879,PPG,PPG INDUSTRIES INC
80035,PLPC,PREFORMED LINE PRODUCTS CO
80172,NPK,NATIONAL PRESTO INDUSTRIES INC
80420,POWL,POWELL INDUSTRIES INC
80424,PG,PROCTER & GAMBLE Co
80661,PGR,PROGRESSIVE CORP/OH/
81157,PGAI,PGI INC
81362,KWR,QUAKER CHEMICAL CORP
81955,RAND,RAND CAPITAL CORP
82020,USLM,UNITED STATES LIME & MINERALS INC
82166,RAVN,RAVEN INDUSTRIES INC
82473,IHT,INNSUITES HOSPITALITY TRUST
82811,RBC,REGAL BELOIT CORP
83350,RSRV,RESERVE PETROLEUM CO
84112,RSKIA,"GEORGE RISK INDUSTRIES, INC."
84129,RAD,RITE AID CORP
84246,RLI,RLI CORP
84748,ROG,ROGERS CORP
84839,ROL,ROLLINS INC
85535,RGLD,ROYAL GOLD INC
85961,R,RYDER SYSTEM INC
86115,SFE,SAFEGUARD SCIENTIFICS INC
86264,CRBO,Carbon Energy Corp
86312,TRV,"TRAVELERS COMPANIES, INC."
86759,SFEF,SANTA FE FINANCIAL CORP
87050,NEON,Neonode Inc.
87347,SLB,SCHLUMBERGER LIMITED/NV
87802,SCND,SCIENTIFIC INDUSTRIES INC
88000,SLGD,Scott's Liquid Gold - Inc.
88121,SEB,SEABOARD CORP /DE/
88205,SPXC,SPX CORP
88790,IIN,INTRICON CORP
88941,SMTC,SEMTECH CORP
88948,SENEB,Seneca Foods Corp
88948,SENEA,Seneca Foods Corp
89089,SCI,SERVICE CORP INTERNATIONAL
89140,SVT,SERVOTRONICS INC /DE/
89439,MLI,MUELLER INDUSTRIES INC
89800,SHW,SHERWIN WILLIAMS CO
90168,SIF,SIFCO INDUSTRIES INC
90498,SFNC,SIMMONS FIRST NATIONAL CORP
90896,SKY,Skyline Champion Corp
91142,AOS,SMITH A O CORP
91419,SJM,J M SMUCKER Co
91440,SNA,Snap-on Inc
91576,KEY,KEYCORP /NEW/
91767,SON,SONOCO PRODUCTS CO
91928,SJI,SOUTH JERSEY INDUSTRIES INC
92103,SCE-PK,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PL,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PB,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PD,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PE,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PG,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PH,SOUTHERN CALIFORNIA EDISON Co
92103,SCE-PJ,SOUTHERN CALIFORNIA EDISON Co
92122,SOJD,SOUTHERN CO
92122,SOLN,SOUTHERN CO
92122,SO,SOUTHERN CO
92122,SOJA,SOUTHERN CO
92122,SOJB,SOUTHERN CO
92122,SOJC,SOUTHERN CO
92230,TFC-PF,TRUIST FINANCIAL CORP
92230,TFC-PG,TRUIST FINANCIAL CORP
92230,TFC-PH,TRUIST FINANCIAL CORP
92230,TFC-PI,TRUIST FINANCIAL CORP
92230,TFC-PO,TRUIST FINANCIAL CORP
92230,TFC,TRUIST FINANCIAL CORP
92380,LUV,SOUTHWEST AIRLINES CO
92679,SPA,SPARTON CORP
93205,LTDH,"LIVING 3D HOLDINGS, INC."
93314,VNRX,VOLITIONRX LTD
93389,SMP,"STANDARD MOTOR PRODUCTS, INC."
93410,CVX,CHEVRON CORP
93556,SWK,"STANLEY BLACK & DECKER, INC."
93556,SWP,"STANLEY BLACK & DECKER, INC."
93556,SWT,"STANLEY BLACK & DECKER, INC."
93676,SCX,STARRETT L S CO
93751,STT,STATE STREET CORP
93751,STT-PD,STATE STREET CORP
93751,STT-PG,STATE STREET CORP
94049,SCL,STEPAN CO
94344,STC,STEWART INFORMATION SERVICES CORP
94845,LEVI,LEVI STRAUSS & CO
95029,RGR,STURM RUGER & CO INC
95521,SVU,SUPERVALU INC
95552,SUP,SUPERIOR INDUSTRIES INTERNATIONAL INC
95574,SGC,"SUPERIOR GROUP OF COMPANIES, INC."
95953,SYNL,SYNALLOY CORP
96021,SYY,SYSCO CORP
